Burgundy,345,100,50
Burlywood,34,39,87
Burnt Orange,25,100,80
Burnt Sienna,14,65,91
Burnt Umber,9,74,54
Byzantine,311,73,74
Byzantium,311,63,44
Cadet,199,27,45
Cadet Blue,182,41,63
Cadet Grey,205,18,69
Cadmium Green,154,100,42
Cadmium Orange,28,81,93
Cadmium Red,351,100,89
Cadmium Yellow,58,100,100
Café Au Lait,26,45,65
Café Noir,30,56,29
Cal Poly Green,137,61,30
Cambridge Blue,140,16,76
Camel,33,45,76
Cameo Pink,340,22,94
Camouflage Green,91,20,53
Canary Yellow,56,100,100
Candy Apple Red,2,100,100
Candy Pink,355,50,89
Capri,195,100,100
Caput Mortuum,7,64,35
Cardinal,350,85,77
Caribbean Green,165,100,80
Carmine,350,100,59
Carmine (M&P),342,100,84
Carmine Pink,4,72,92
Carmine Red,347,100,100
Carnation Pink,336,35,100
Carnelian,0,85,70
Carolina Blue,204,59,83
Carrot Orange,33,86,93
Castleton Green,164,100,34
Catalina Blue,221,95,47
Catawba,348,52,44
Cedar Chest,8,64,79
Ceil,225,29,81
Celadon,123,24,88
Celadon Blue,196,100,65
Celadon Green,174,64,52
Celeste,180,30,100
Celestial Blue,205,65,82
Cerise,343,78,87
Cerise Pink,336,75,93
Cerulean,196,100,65
Cerulean Blue,224,78,75
Cerulean Frost,208,44,76
CG Blue,196,100,65
CG Red,4,78,88
Chamoisee,26,44,63
Champagne,37,17,97
Charcoal,204,32,31
Charleston Green,180,19,17
Charm Pink,340,38,90
Chartreuse (Traditional),68,100,100
Chartreuse (Web),90,100,100
Cherry,343,78,87
Cherry Blossom Pink,348,28,100
Chestnut,10,64,58
China Pink,333,50,87
China Rose,340,52,66
Chinese Red,11,82,67
Chinese Violet,296,29,53
Chocolate (Traditional),31,100,48
Chocolate (Web),25,86,82
Chrome Yellow,39,100,100
Cinereous,12,19,60
Cinnabar,5,77,89
Cinnamon[Citation Needed],25,86,82
Citrine,54,96,89
Citron,64,82,66
Claret,343,82,50
Classic Rose,326,19,98
Cobalt Blue,215,100,67
Cocoa Brown,25,86,82
Coconut,19,59,59
Coffee,25,50,44
Columbia Blue,200,13,89
Congo Pink,5,51,97
Cool Black,212,100,38
Cool Grey,229,19,67
Copper,29,72,72
Copper (Crayola),18,53,85
Copper Penny,5,39,68
Copper Red,14,60,80
Copper Rose,0,33,60
Coquelicot,13,100,100
Coral,16,69,100
Coral Pink,5,51,97
Coral Red,0,75,100
Cordovan,355,54,54
Corn,54,63,98
Cornell Red,0,85,70
Cornflower Blue,219,58,93
Cornsilk,48,14,100
Cosmic Latte,43,9,100
Coyote Brown,62,52,51
Cotton Candy,334,26,100
Cream,57,18,100
Crimson,348,91,86
Crimson Glory,344,100,75
Crimson Red,0,100,60
Cyan,180,100,100
Cyan Azure,209,57,71
Cyan-Blue Azure,210,63,75
Cyan Cobalt Blue,215,74,61
Cyan Cornflower Blue,199,88,76
Cyan (Process),193,100,92
Cyber Grape,263,47,49
Cyber Yellow,50,100,100
Daffodil,60,81,100
Dandelion,55,80,94
Dark Blue,240,100,55
Dark Blue-Gray,240,33,60
Dark Brown,30,67,40
Dark Brown-Tangelo,24,43,53
Dark Byzantium,315,39,36
Dark Candy Apple Red,0,100,64
Dark Cerulean,209,94,49
Dark Chestnut,10,37,60
Dark Coral,10,66,80
Dark Cyan,180,100,55
Dark Electric Blue,206,31,47
Dark Goldenrod,43,94,72
Dark Gray (X11),—,0,66
Dark Green,158,98,20
Dark Green (X11),120,100,39
Dark Gunmetal,202,26,16
Dark Imperial Blue,203,100,42
Dark Imperial Blue,183,100,40
Dark Jungle Green,162,28,14
Dark Khaki,56,43,74
Dark Lava,27,31,28
Dark Lavender,270,47,59
Dark Liver,330,10,33
Dark Liver (Horses),12,35,33
Dark Magenta,300,100,55
Dark Medium Gray,—,0,66
Dark Midnight Blue,210,100,40
Dark Moss Green,80,62,36
Dark Olive Green,82,56,42
Dark Orange,33,100,100
Dark Orchid,280,75,80
Dark Pastel Blue,212,41,80
Dark Pastel Green,138,98,75
Dark Pastel Purple,263,48,84
Dark Pastel Red,9,82,76
Dark Pink,342,64,91
Dark Powder Blue,220,100,60
Dark Puce,354,27,31
Dark Purple,291,51,20
Dark Raspberry,330,72,53
Dark Red,0,100,55
Dark Salmon,15,48,91
Dark Scarlet,344,97,34
Dark Sea Green,120,24,74
Dark Sienna,0,67,24
Dark Sky Blue,199,35,84
Dark Slate Blue,248,56,55
Dark Slate Gray,180,41,31
Dark Spring Green,150,80,45
Dark Tan,45,44,57
Dark Tangerine,38,93,100
Dark Taupe,27,31,28
Dark Terra Cotta,353,62,80
Dark Turquoise,181,100,82
Dark Vanilla,32,20,82
Dark Violet,282,100,83
Dark Yellow,52,92,61
Dartmouth Green,152,100,44
Davy's Grey,—,0,33
Debian Red,339,95,84
Deep Aquamarine,161,51,51
Deep Carmine,347,81,66
Deep Carmine Pink,357,80,94
Deep Carrot Orange,19,81,91
Deep Cerise,330,77,85
Deep Champagne,35,34,98
Deep Chestnut,3,61,73
Deep Coffee,1,42,44
Deep Fuchsia,300,56,76
Deep Green,122,95,40
Deep Green-Cyan Turquoise,165,89,49
Deep Jungle Green,178,100,29
Deep Koamaru,240,50,40
Deep Lemon,47,89,96
Deep Lilac,280,55,73
Deep Magenta,300,100,80
Deep Maroon,0,100,51
Deep Mauve,300,46,83
Deep Moss Green,129,44,37
Deep Peach,26,36,100
Deep Pink,328,92,100
Deep Puce,351,46,66
Deep Red,0,99,52
Deep Ruby,336,52,52
Deep Saffron,30,80,100
Deep Sky Blue,195,100,100
Deep Space Sparkle,194,31,42
Deep Spring Bud,82,56,42
Deep Taupe,356,25,49
Deep Tuscan Red,342,35,40
Deep Violet,270,100,40
Deer,28,52,73
Denim,213,89,74
Desaturated Cyan,180,33,60
Desert,33,45,76
Desert Sand,25,26,93
Desire,352,74,92
Diamond,191,27,100
Dim Gray,—,0,41
Dirt,29,46,61
Dodger Blue,210,88,100
Dogwood Rose,335,89,84
Dollar Bill,98,46,73
Donkey Brown,35,61,40
Drab,43,85,59
Duke Blue,240,100,61
Dust Storm,6,12,90
Dutch White,42,22,94
Earth Yellow,34,58,88
Ebony,97,14,36
Ecru,45,34,76
Eerie Black,—,0,11
Eggplant,329,34,38
Eggshell,46,11,94
Egyptian Blue,226,90,65
Electric Blue,183,51,100
Electric Crimson,345,100,100
Electric Cyan,180,100,100
Electric Green,120,100,100
Electric Indigo,266,100,100
Electric Lavender,290,27,100
Electric Lime,72,100,100
Electric Purple,285,100,100
Electric Ultramarine,255,100,100
Electric Violet,274,100,100
Electric Yellow,60,80,100
Emerald,140,60,78
Eminence,284,63,51
English Green,162,65,30
English Lavender,338,27,71
English Red,356,56,67
English Violet,289,35,36
Eton Blue,134,25,78
Eucalyptus,161,68,84
Fallow,33,45,76
Falu Red,0,81,50
Fandango,320,72,71
Fandango Pink,338,63,87
Fashion Fuchsia,320,100,96
Fawn,30,51,90
Feldgrau,143,17,36
Feldspar,28,30,99
Fern Green,106,45,47
Ferrari Red,9,100,100
Field Drab,42,72,42
Firebrick,0,81,70
Fire Engine Red,357,84,81
Flame,17,85,89
Flamingo Pink,344,44,99
Flattery,28,67,42
Flavescent,52,43,97
Flax,50,45,93
Flirt,320,100,64
Floral White,40,6,100
Fluorescent Orange,45,100,100
Fluorescent Pink,328,92,100
Fluorescent Yellow,72,100,100
Folly,341,100,100
Forest Green (Traditional),149,99,27
Forest Green (Web),120,76,55
French Beige,26,45,65
French Bistre,34,42,52
French Blue,203,100,73
French Fuchsia,334,75,99
French Lilac,290,32,56
French Lime,89,78,99
French Mauve,300,46,83
French Pink,339,57,99
French Plum,325,84,51
French Puce,11,88,31
French Raspberry,349,78,78
French Rose,338,70,96
French Sky Blue,212,53,100
French Violet,279,97,81
French Wine,344,83,67
Fresh Air,196,35,100
Fuchsia,300,100,100
Fuchsia (Crayola),300,56,76
Fuchsia Pink,300,53,100
Fuchsia Purple,333,72,80
Fuchsia Rose,337,66,78
Fulvous,35,100,89
Fuzzy Wuzzy,0,50,80
Gainsboro,0,0,86
Gamboge,39,93,89
Gamboge Orange (Brown),40,100,60
Generic Viridian,168,100,50
Ghost White,240,3,100
Giants Orange,16,89,100
Glaucous,216,47,71
Glitter,234,8,98
GO Green,156,100,67
Gold (Metallic),46,74,83
Gold (Web) (Golden),51,100,100
Gold Fusion,43,41,52
Golden Brown,36,86,60
Golden Poppy,46,100,99
Golden Yellow,52,100,100
Goldenrod,43,85,85
Granny Smith Apple,113,30,89
Grape,272,73,66
Grussrel,34,100,69
Gray,0,0,50
Gray (HTML/CSS Gray),0,0,50
Gray (X11 Gray),0,0,75
Gray-Asparagus,117,22,35
Gray-Blue,229,19,67
Green (Color Wheel) (X11 Green),120,100,100
Green (Crayola),158,84,67
Green (HTML/CSS Color),120,100,50
Green (Munsell),163,100,66
Green (NCS),160,100,62
Green (Pantone),143,100,68
Green (Pigment),149,100,65
Green (RYB),95,72,69
Green-Blue,209,91,71
Green-Cyan,160,100,60
Green-Yellow,84,82,100
Grizzly,34,82,53
Grullo,34,21,66
Guppie Green,150,100,100
Gunmetal,200,15,19
Halayà Úbe,323,45,40
Han Blue,223,67,81
Han Purple,255,90,98
Hansa Yellow,51,54,91
Harlequin,105,100,100
Harlequin Green,105,88,80
Harvard Crimson,353,100,79
Harvest Gold,40,100,85
Heart Gold,60,100,50
Heliotrope,286,55,100
Heliotrope Gray,303,11,67
Heliotrope Magenta,295,100,73
Hollywood Cerise,320,100,96
Honeydew,120,6,100
Honolulu Blue,203,100,69
Hooker's Green,163,40,47
Hot Magenta,313,89,100
Hot Pink,330,59,100
Hunter Green,129,44,37
Iceberg,207,46,82
Icterine,58,63,99
Illuminating Emerald,164,66,57
Imperial,289,56,42
Imperial Blue,226,100,58
Imperial Purple,325,98,40
Imperial Red,355,83,93
Inchworm,84,61,93
Independence,231,30,43
India Green,115,94,53
Indian Red,0,55,80
Indian Yellow,35,62,89
Indigo,266,100,100
Indigo Dye,230,94,57
Indigo (Web),275,100,51
International Klein Blue,223,100,65
International Orange (Aerospace),19,100,100
International Orange (Engineering),3,94,73
International Orange (Golden Gate Bridge),4,77,75
Iris,245,62,81
Irresistible,338,62,70
Isabelline,30,3,96
Islamic Green,120,100,56
Italian Sky Blue,180,30,100
Ivory,60,6,100
Jade,158,100,66
Japanese Carmine,355,74,62
Japanese Indigo,189,47,28
Japanese Violet,307,45,36
Jasmine,47,49,97
Jasper,359,73,84
Jazzberry Jam,328,93,65
Jelly Bean,8,64,85
Jet,—,0,20
Jonquil,49,91,96
Jordy Blue,213,43,95
June Bud,73,60,85
Jungle Green,163,76,67
Kelly Green,101,88,73
Kenyan Copper,12,96,49
Keppel,171,67,69
Khaki (HTML/CSS) (Khaki),37,26,76
Khaki (X11) (Light Khaki),54,42,94
Kobe,12,83,53
Kobi,329,31,91
Kobicha,28,67,42
Kombu Green,103,27,26
KU Crimson,357,100,91
La Salle Green,141,93,47
Languid Lavender,278,9,87
Lapis Lazuli,210,76,61
Laser Lemon,60,60,100
Laurel Green,95,16,73
Lava,355,92,81
Lavender (Floral),275,43,86
Lavender (Web),240,8,98
Lavender Blue,240,20,100
Lavender Blush,340,6,100
Lavender Gray,245,6,82
Lavender Indigo,265,63,92
Lavender Magenta,300,45,93
Lavender Mist,240,8,98
Lavender Pink,332,31,98
Lavender Purple,267,32,71
Lavender Rose,316,36,98
Lawn Green,90,100,99
Lemon,58,100,100
Lemon Chiffon,54,20,100
Lemon Curry,45,86,80
Lemon Glacier,60,100,100
Lemon Lime,67,100,100
Lemon Meringue,47,23,96
Lemon Yellow,56,69,100
Lenurple,274,32,85
Licorice,6,38,10
Liberty,236,50,65
Light Apricot,28,30,99
Light Blue,195,25,90
Light Brilliant Red,0,82,100
Light Brown,28,84,71
Light Carmine Pink,355,55,90
Light Cobalt Blue,215,39,88
Light Coral,0,47,94
Light Cornflower Blue,201,37,92
Light Crimson,343,57,96
Light Cyan,180,12,100
Light Deep Pink,318,64,100
Light French Beige,38,37,78
Light Fuchsia Pink,305,47,98
Light Goldenrod Yellow,60,16,98
Light Gray,0,0,83
Light Grayish Magenta,300,25,80
Light Green,120,39,93
Light Hot Pink,326,30,100
Light Khaki,54,42,94
Light Medium Orchid,309,27,83
Light Moss Green,120,22,87
Light Orchid,315,27,90
Light Pastel Purple,261,28,85
Light Pink,351,29,100
Light Red Ochre,14,65,91
Light Salmon,17,52,100
Light Salmon Pink,0,40,100
Light Sea Green,177,82,70
Light Sky Blue,203,46,98
Light Slate Gray,210,22,60
Light Steel Blue,214,21,87
Light Taupe,26,39,70
Light Thulian Pink,340,38,90
Light Yellow,60,12,100
Lilac,300,19,78
Lime (Color Wheel),75,100,100
Lime (Web) (X11 Green),120,100,100
Lime Green,120,76,80
Limerick,72,95,76
Lincoln Green,106,94,35
Linen,30,8,98
Lion,33,45,76
Liseran Purple,333,50,87
Little Boy Blue,212,51,86
Liver,9,31,40
Liver (Dogs),29,78,72
Liver (Organ),12,71,42
Liver Chestnut,27,43,60
Livid,210,50,80
Lumber,28,20,100
Lust,0,86,90
Macaroni And Cheese,27,47,100
Magenta,300,100,100
Magenta (Crayola),332,67,100
Magenta (Dye),328,85,79
Magenta (Pantone),334,69,82
Magenta (Process),326,100,100
Magenta Haze,327,57,62
Magenta-Pink,325,75,80
Magic Mint,153,29,94
Magnolia,262,4,100
Mahogany,20,100,75
Maize,54,63,98
Majorelle Blue,247,64,86
Malachite,140,95,85
Manatee,231,11,67
Mango Tango,20,74,100
Mantis,110,48,76
Mardi Gras,301,100,53
Marigold,39,85,91
Maroon (Crayola),346,83,76
Maroon (HTML/CSS),0,100,50
Maroon (X11),338,73,69
Mauve,276,31,100
Mauve Taupe,343,34,57
Mauvelous,348,36,94
May Green,112,55,57
Maya Blue,205,54,98
Meat Brown,44,74,90
Medium Aquamarine,154,54,87
Medium Blue,240,100,80
Medium Candy Apple Red,350,97,89
Medium Carmine,5,70,69
Medium Champagne,48,30,95
Medium Electric Blue,209,98,59
Medium Jungle Green,161,47,21
Medium Lavender Magenta,300,28,87
Medium Orchid,288,60,83
Medium Persian Blue,203,100,65
Medium Purple,260,49,86
Medium Red-Violet,324,73,73
Medium Ruby,337,62,67
Medium Sea Green,147,66,70
Medium Sky Blue,190,46,92
Medium Slate Blue,249,56,93
Medium Spring Bud,73,39,86
Medium Spring Green,157,100,98
Medium Taupe,9,31,40
Medium Turquoise,178,66,82
Medium Tuscan Red,9,51,47
Medium Vermilion,14,73,85
Medium Violet-Red,322,89,78
Mellow Apricot,30,52,97
Mellow Yellow,47,49,97
Melon,7,29,99
Metallic Seaweed,186,93,55
Metallic Sunburst,41,64,61
Mexican Pink,327,100,89
Midnight Blue,240,78,44
Midnight Green (Eagle Green),187,100,33
Mikado Yellow,45,95,100
Mindaro,72,45,98
Ming,188,56,49
Mint,158,66,71
Mint Cream,150,4,100
Mint Green,120,40,100
Misty Rose,6,12,100
Moccasin,34,14,98
Mode Beige,43,85,59
Moonstone Blue,199,41,76
Mordant Red 19,4,100,68
Moss Green,75,41,60
Mountain Meadow,161,74,73
Mountbatten Pink,323,20,60
MSU Green,167,65,27
Mughal Green,120,50,38
Mulberry,328,62,77
Mustard,47,65,100
Myrtle Green,176,59,47
Nadeshiko Pink,339,30,96
Napier Green,100,100,50
Naples Yellow,48,62,98
Navajo White,36,32,100
Navy,240,100,50
Navy Purple,265,63,92
Neon Carrot,31,74,100
Neon Fuchsia,349,74,100
Neon Green,111,92,100
New Car,223,83,78
New York Pink,3,41,84
Non-Photo Blue,193,31,93
North Texas Green,140,97,56
Nyanza,97,14,100
Ocean Boat Blue,202,100,75
Ochre,30,83,80
Office Green,120,100,50
Old Burgundy,6,31,26
Old Gold,49,71,81
Old Heliotrope,289,35,36
Old Lace,39,9,99
Old Lavender,304,14,47
Old Mauve,336,52,40
Old Moss Green,54,60,53
Old Rose,359,33,75
Old Silver,60,2,52
Olive,60,100,50
Olive Drab (#3),80,75,56
Olive Drab #7,43,48,24
Olivine,87,38,73
Onyx,195,7,22
Opera Mauve,319,28,72
Orange (Color Wheel),30,100,100
Orange (Crayola),18,78,100
Orange (Pantone),21,100,100
Orange (RYB),36,99,98
Orange (Web),39,100,100
Orange Peel,37,100,100
Orange-Red,16,100,100
Orange-Yellow,45,58,97
Orchid,302,49,85
Orchid Pink,342,22,95
Orioles Orange,15,92,98
Otter Brown,30,67,40
Outer Space,191,14,30
Outrageous Orange,12,71,100
Oxford Blue,212,100,28
OU Crimson Red,0,100,60
Pacific Blue,191,86,79
Pakistan Green,120,100,40
Palatinate Blue,234,83,89
Palatinate Purple,308,62,41
Pale Aqua,206,18,90
Pale Blue,180,26,93
Pale Brown,30,45,60
Pale Carmine,5,70,69
Pale Cerulean,205,31,89
Pale Chestnut,358,22,87
Pale Copper,18,53,85
Pale Cornflower Blue,210,28,94
Pale Cyan,200,46,97
Pale Gold,34,40,90
Pale Goldenrod,55,29,93
Pale Green,120,39,98
Pale Lavender,255,18,100
Pale Magenta,310,47,98
Pale Magenta-Pink,330,40,100
Pale Pink,354,13,98
Pale Plum,300,28,87
Pale Red-Violet,340,49,86
Pale Robin Egg Blue,169,32,87
Pale Silver,21,7,79
Pale Spring Bud,59,20,93
Pale Taupe,25,33,74
Pale Turquoise,180,26,93
Pale Violet,270,40,100
Pale Violet-Red,340,49,86
Pansy Purple,329,80,47
Paolo Veronese Green,168,100,61
Papaya Whip,37,16,100
Paradise Pink,347,73,90
Paris Green,140,60,78
Pastel Blue,196,16,81
Pastel Brown,28,37,51
Pastel Gray,60,5,81
Pastel Green,120,46,87
Pastel Magenta,333,37,96
Pastel Orange,35,72,100
Pastel Pink,1,26,87
Pastel Purple,295,13,71
Pastel Red,3,62,100
Pastel Violet,302,25,80
Pastel Yellow,60,41,99
Patriarch,300,100,50
Payne's Grey,206,31,47
Peach,39,29,100
Peach,26,36,100
Peach-Orange,30,40,100
Peach Puff,28,27,100
Peach-Yellow,39,31,98
Pear,66,78,89
Pearl,42,15,92
Pearl Aqua,162,37,85
Pearly Purple,316,43,72
Peridot,59,100,90
Periwinkle,240,20,100
Persian Blue,229,85,73
Persian Green,173,100,65
Persian Indigo,258,85,48
Persian Orange,26,59,85
Persian Pink,329,49,97
Persian Plum,0,75,44
Persian Red,0,75,80
Persian Rose,326,84,100
Persimmon,22,100,93
Peru,30,69,80
Phlox,292,100,100
Phthalo Blue,233,100,54
Phthalo Green,151,66,21
Picton Blue,200,70,91
Pictorial Carmine,338,94,76
Piggy Pink,343,13,99
Pine Green,175,99,47
Pineapple,289,35,36
Pink,350,25,100
Pink (Pantone),328,67,84
Pink Flamingo,300,54,99
Pink Lace,319,13,100
Pink Lavender,311,18,85
Pink-Orange,20,60,100
Pink Pearl,324,26,91
Pink Raspberry,339,100,60
Pink Sherbet,346,42,97
Pistachio,96,42,77
Platinum,40,1,90
Plum,307,51,56
Plum (Web),300,28,87
Pomp And Power,290,32,56
Popstar,350,58,75
Portland Orange,11,79,100
Powder Blue,187,23,90
Princeton Orange,26,85,96
Prune,0,75,44
Prussian Blue,205,100,33
Psychedelic Purple,292,100,100
Puce,345,33,80
Puce Red,353,59,45
Pullman Brown (UPS Brown),33,77,39
Pullman Green,45,36,59
Pumpkin,24,91,100
Purple (HTML),300,100,50
Purple (Munsell),288,100,77
Purple (X11),277,87,94
Purple Heart,270,66,61
Purple Mountain Majesty,269,34,71
Purple Navy,236,39,50
Purple Pizzazz,312,69,100
Purple Taupe,311,20,31
Purpureus,288,55,68
Quartz,313,11,32
Queen Blue,211,55,58
Queen Pink,336,12,91
Quinacridone Magenta,338,59,56
Rackley,204,45,66
Radical Red,348,79,100
Raisin Black,300,8,14
Rajah,29,62,98
Raspberry,337,95,89
Raspberry Glace,343,34,57
Raspberry Pink,330,65,89
Raspberry Rose,338,62,70
Raw Sienna,24,58,84
Raw Umber,33,48,51
Razzle Dazzle Rose,315,80,100
Razzmatazz,338,84,89
Razzmic Berry,308,45,55
Rebecca Purple,270,67,60
Red,0,100,100
Red (Crayola),347,87,93
Red (Munsell),345,100,95
Red (NCS),345,99,77
Red (Pantone),355,83,93
Red (Pigment),358,88,93
Red (RYB),5,93,100
Red-Brown,0,75,65
Red Devil,353,99,53
Red-Orange,3,71,100
Red-Purple,328,100,89
Red-Violet,322,89,78
Redwood,6,50,64
Regalia,267,65,50
Registration Black,—,0,0
Resolution Blue,224,100,53
Rhythm,242,21,59
Rich Black,180,100,25
Rich Black (FOGRA29),207,95,8
Rich Black (FOGRA39),210,67,1
Rich Brilliant Lavender,291,34,100
Rich Carmine,342,100,84
Rich Electric Blue,199,96,82
Rich Lavender,276,48,81
Rich Lilac,284,51,82
Rich Maroon,338,73,69
Rifle Green,84,26,30
Roast Coffee,1,42,44
Robin Egg Blue,180,100,80
Rocket Metallic,355,8,54
Roman Silver,221,13,59
Rose,330,100,100
Rose Bonbon,330,73,98
Rose Ebony,4,32,40
Rose Gold,351,40,72
Rose Madder,355,83,89
Rose Pink,320,60,100
Rose Quartz,303,11,67
Rose Red,340,85,76
Rose Taupe,0,35,56
Rose Vale,357,54,67
Rosewood,353,100,40
Rosso Corsa,0,100,83
Rosy Brown,0,24,74
Royal Azure,220,100,66
Royal Blue,219,100,40
Royal Blue,225,71,88
Royal Fuchsia,321,78,79
Royal Purple,267,52,66
Royal Yellow,48,62,98
Ruber,339,66,81
Rubine Red,335,100,82
Ruby,337,92,88
Ruby Red,354,89,61
Ruddy,351,100,100
Ruddy Brown,25,79,73
Ruddy Pink,354,37,88
Rufous,8,96,66
Russet,26,79,50
Russian Green,120,29,57
Russian Violet,270,70,30
Rust,18,92,72
Rusty Red,352,80,85
Sacramento State Green,164,100,34
Saddle Brown,25,86,55
Safety Orange,28,100,100
Safety Orange (Blaze Orange),24,100,100
Safety Yellow,53,99,93
Saffron,45,80,96
Sage,55,27,74
St. Patrick's Blue,236,71,48
Salmon,6,54,98
Salmon Pink,350,43,100
Sand,45,34,76
Sand Dune,43,85,59
Sandstorm,52,73,93
Sandy Brown,28,61,96
Sandy Taupe,43,85,59
Sangria,356,100,57
Sap Green,93,66,49
Sapphire,216,92,73
Sapphire Blue,203,100,65
Satin Sheen Gold,43,74,80
Scarlet,8,100,100
Scarlet,350,94,99
Schauss Pink,344,43,100
School Bus Yellow,51,100,100
Screamin' Green,122,54,100
Sea Blue,197,100,58
Sea Green,146,67,55
Seal Brown,0,60,20
Seashell,25,7,100
Selective Yellow,44,100,100
Sepia,30,82,44
Shadow,37,33,54
Shadow Blue,214,28,65
Shampoo,318,19,100
Shamrock Green,156,100,62
Sheen Green,80,100,83
Shimmering Blush,349,38,85
Shocking Pink,315,94,99
Shocking Pink (Crayola),300,56,100
Sienna,12,83,53
Silver,—,0,75
Silver Chalice,—,0,67
Silver Lake Blue,212,50,73
Silver Pink,3,12,77
Silver Sand,200,2,76
Sinopia,17,95,80
Skobeloff,180,100,45
Sky Blue,197,43,92
Sky Magenta,320,45,81
Slate Blue,248,56,80
Slate Gray,210,22,56
Smalt (Dark Powder Blue),220,100,60
Smitten,329,68,78
Smoke,132,12,51
Smoky Black,30,50,6
Smoky Topaz,357,59,58
Snow,0,2,100
Soap,249,16,94
Solid Pink,352,59,54
Sonic Silver,—,0,46
Spartan Crimson,359,88,62
Space Cadet,226,64,32
Spanish Bistre,52,61,50
Spanish Blue,203,100,72
Spanish Carmine,340,100,82
Spanish Crimson,345,89,90
Spanish Gray,—,0,60
Spanish Green,153,100,57
Spanish Orange,25,100,91
Spanish Pink,1,23,97
Spanish Red,350,100,90
Spanish Sky Blue,180,100,100
Spanish Violet,264,69,51
Spanish Viridian,163,100,50
Spicy Mix,17,45,55
Spiro Disco Ball,195,94,99
Spring Bud,80,100,99
Spring Green,150,100,100
Star Command Blue,200,100,72
Steel Blue,207,61,71
Steel Pink,300,75,80
Stil De Grain Yellow,48,62,98
Stizza,0,100,60
Stormcloud,189,25,42
Straw,54,51,89
Strawberry,341,64,99
Sunglow,45,80,100
Sunray,36,62,89
Sunset,35,34,98
Sunset Orange,4,67,99
